,album,artist,track,tempo_val,tempo_text,mood_text,mood_score
1,Avicii,Wake Me Up,Wake Me Up,150,"['Fast Tempo', 'Fast']","['Aggressive', 'Aggressive Power']",31.3087
2,Beyonce,BEYONCe,Pretty Hurts,60,"['Medium Tempo', 'Medium']","['Defiant', 'Heavy Brooding']",49.80845
4,Beyonce,BEYONCe,Haunted,60,"['Medium Tempo', 'Medium Slow']","['Sensual', 'Dreamy Pulse']",79.330075
5,Beyonce,BEYONCe,Drunk in Love (feat. Jay Z),90,"['Medium Tempo', 'Medium Fast']","['Defiant', 'Attitude / Defiant']",42.048399999999994
6,Beyonce,BEYONCe,Blow,60,"['Medium Tempo', 'Medium Slow']","['Sensual', 'Intimate']",81.0764
7,Beyonce,BEYONCe,No Angel,60,"['Medium Tempo', 'Medium Slow']","['Sensual', 'Intimate']",81.0764
8,Beyonce,BEYONCe,Yonce (Video),150,"['Fast Tempo', 'Fast']","['Energizing', 'Abstract Beat']",65.93215000000001
9,Beyonce,BEYONCe,Partition (Video),90,"['Medium Tempo', 'Medium Fast']","['Cool', 'Cool Confidence']",89.69165
10,Beyonce,BEYONCe,Jealous,40,"['Slow Tempo', 'Slow']","['Sensual', 'Dreamy Pulse']",79.330075
11,Beyonce,BEYONCe,Rocket,50,"['Medium Tempo', 'Medium Slow']","['Sensual', 'Intimate']",81.0764
13,Beyonce,BEYONCe,XO,160,"['Fast Tempo', 'Fast']","['Excited', 'Happy Excitement']",85.47155
16,Beyonce,BEYONCe,Blue (feat. Blue Ivy),80,"['Medium Tempo', 'Medium']","['Energizing', 'Edgy / Sexy']",87.3889
18,Beyonce,BEYONCe (More Only) - EP,711,130,"['Fast Tempo', 'Fast']","['Energizing', 'Abstract Beat']",65.93215000000001
19,Beyonce,Live At Roseland: Elements of 4,End Of Time (Live),70,"['Medium Tempo', 'Medium']","['Defiant', 'Attitude / Defiant']",42.048399999999994
21,Capital Cities,In A Tidal Wave Of Mystery,Safe and Sound,110,"['Medium Tempo', 'Medium Fast']","['Excited', 'Euphoric Energy']",65.74325
22,The Cave Singers,Naomi,When the World,60,"['Medium Tempo', 'Medium']","['Brooding', 'Evocative / Intriguing']",89.852125
23,Cee Lo Green,Amy (feat. Goodie Mob) - Single,Amy (feat. Goodie Mob),90,"['Medium Tempo', 'Medium Fast']","['Cool', 'Cool Confidence']",89.69165
24,Changhyun's iPhone,Voice Memos,Meeting,20,"['Slow Tempo', 'Very Slow']","['Somber', 'Solemn / Spiritual']",19.849899999999998
27,Coldplay,A Rush of Blood to the Head,The Scientist,30,"['Slow Tempo', 'Very Slow']","['Sentimental', 'Tender / Sincere']",71.09802499999999
28,Daft Punk,Random Access Memories,Give Life Back to Music,60,"['Medium Tempo', 'Medium Slow']","['Melancholy', 'Wistful / Forlorn']",51.169325
29,Daft Punk,Random Access Memories,The Game of Love,50,"['Medium Tempo', 'Medium Slow']","['Peaceful', 'Reverent / Healing']",71.55584999999999
30,Daft Punk,Random Access Memories,Giorgio by Moroder,50,"['Medium Tempo', 'Medium Slow']","['Sensual', 'Dreamy Pulse']",79.330075
31,Daft Punk,Random Access Memories,Within,50,"['Medium Tempo', 'Medium Slow']","['Sensual', 'Dreamy Pulse']",79.330075
32,Daft Punk,Random Access Memories,Get Lucky (feat. Pharrell Williams),110,"['Medium Tempo', 'Medium Fast']","['Fiery', 'Fiery Groove']",35.067899999999995
33,Daft Punk,Random Access Memories,Beyond,60,"['Medium Tempo', 'Medium']","['Sensual', 'Sensual Groove']",82.479425
